Background/Introduction_Agent,Who is doing the action?
Background/Introduction_Primaryobject,What is being affected by the action?
Background/Introduction_Secondaryobject,What else is involved or affected?
Background/Introduction_Context,What is the situation or background?
Background/Introduction_Purpose,Why is this being done?
Background/Introduction_Method,How is it being done?
Background/Introduction_Results,What happened or was found?
Background/Introduction_Analysis,How was it interpreted?
Background/Introduction_Challenge,What problem or difficulty is mentioned?
Background/Introduction_Ethical,What ethical concern is mentioned?
Background/Introduction_Implications,What does this mean for the future?
Background/Introduction_Contradictions,What disagrees with previous work?
Methods/Approach_Agent,Who is doing the action?
Methods/Approach_Primaryobject,What is being affected by the action?
Methods/Approach_Secondaryobject,What else is involved or affected?
Methods/Approach_Context,What is the situation or background?
Methods/Approach_Purpose,Why is this being done?
Methods/Approach_Method,How is it being done?
Methods/Approach_Results,What happened or was found?
Methods/Approach_Analysis,How was it interpreted?
Methods/Approach_Challenge,What problem or difficulty is mentioned?
Methods/Approach_Ethical,What ethical concern is mentioned?
Methods/Approach_Implications,What does this mean for the future?
Methods/Approach_Contradictions,What disagrees with previous work?
Results/Findings_Agent,Who is doing the action?
Results/Findings_Primaryobject,What is being affected by the action?
Results/Findings_Secondaryobject,What else is involved or affected?
Results/Findings_Context,What is the situation or background?
Results/Findings_Purpose,Why is this being done?
Results/Findings_Method,How is it being done?
Results/Findings_Results,What happened or was found?
Results/Findings_Analysis,How was it interpreted?
Results/Findings_Challenge,What problem or difficulty is mentioned?
Results/Findings_Ethical,What ethical concern is mentioned?
Results/Findings_Implications,What does this mean for the future?
Results/Findings_Contradictions,What disagrees with previous work?
Conclusions/Implications_Agent,Who is doing the action?
Conclusions/Implications_Primaryobject,What is being affected by the action?
Conclusions/Implications_Secondaryobject,What else is involved or affected?
Conclusions/Implications_Context,What is the situation or background?
Conclusions/Implications_Purpose,Why is this being done?
Conclusions/Implications_Method,How is it being done?
Conclusions/Implications_Results,What happened or was found?
Conclusions/Implications_Analysis,How was it interpreted?
Conclusions/Implications_Challenge,What problem or difficulty is mentioned?
Conclusions/Implications_Ethical,What ethical concern is mentioned?
Conclusions/Implications_Implications,What does this mean for the future?
Conclusions/Implications_Contradictions,What disagrees with previous work?
